University Name,University Address,University Address : Street 1,University Address : Street 2,University Address : City,University Address : State,University Address : Zip,University Address : Country,University Address : Latitude,University Address : Longitude,University Number,Geographical Region,State
Reinhardt University ,"7300 Reinhardt Circle Waleska, GA 30183",7300 Reinhardt Circle,,Waleska,GA,30183,,34.31873,-84.55452,641,South,Georgia
Rensselaer Polytechnic Institute,"10 8th St Troy, NY 12180",10 8th St,,Troy,NY,12180,,42.727853,-73.684739,642,Northeast,New York
Rhode Island College,"600 Mt Pleasant Ave Providence, RI 2908",600 Mt Pleasant Ave,,Providence,RI,2908,,41.841592,-71.452775,380,Northeast,Rhode Island
Rhode Island School of Design,"2 College St Providence, RI 2903",2 College St,,Providence,RI,2903,,41.825821,-71.407012,177,Northeast,Rhode Island
Rice University,"6100 Main St Houston, TX 77005",6100 Main St,,Houston,TX,77005,,29.72066,-95.39387,178,South,Texas
Rider University ,"2083 Lawrenceville Rd Lawrenceville, NJ 08648",2083 Lawrenceville Rd,,Lawrenceville,NJ,08648,,40.27953,-74.73749,643,Northeast,New Jersey
Roanoke College,"226 High Street Salem, VA 24153",226 High Street,,Salem,VA,24153,,37.29626,-80.05362,485,South,Virginia
Rochester Institute of Technology,"1 Lomb Memorial Dr Rochester, NY 14623",1 Lomb Memorial Dr,,Rochester,NY,14623,,43.084744,-77.674249,454,Northeast,New York
Roger Williams University,"1 Old Ferry Rd Bristol, RI 2809",1 Old Ferry Rd,,Bristol,RI,2809,,41.64738,-71.26187,179,Northeast,Rhode Island
Rowan University,"201 Mullica Hill Rd Glassboro, NJ 8028",201 Mullica Hill Rd,,Glassboro,NJ,8028,,39.70791,-75.11606,180,Northeast,New Jersey
Rutgers University - Camden,"303 Cooper St Camden, NJ 08102",303 Cooper St,,Camden,NJ,08102,,39.94763,-75.12299,645,Northeast,New Jersey
Rutgers University - Livingston,"Joyce Kilmer Ave Piscataway, NJ 08854",Joyce Kilmer Ave,,Piscataway,NJ,08854,,40.52325,-74.43407,646,Northeast,New Jersey
Rutgers University - Newark,"195 University Ave Newark, NJ 7102",195 University Ave,,Newark,NJ,7102,,40.740949,-74.174409,182,Northeast,New Jersey
Rutgers University - New Brunswick,"57 US Highway 1 New Brunswick, NJ 8901",57 US Highway 1,,New Brunswick,NJ,8901,,40.472367,-74.430259,181,Northeast,New Jersey
Sacramento City College,"3835 Freeport Blvd Sacramento, CA 95822",3835 Freeport Blvd,,Sacramento,CA,95822,,38.54061,-121.48939,455,West,California
Sacramento State University,"6000 J Street Sacramento, CA 95819",6000 J Street,,Sacramento,CA,95819,,38.56124,-121.42446,183,West,California
Sacred Heart University,"5151 Park Ave Fairfield, CT 06825",5151 Park Ave,,Fairfield,CT,06825,,41.2223,-73.2406,647,Northeast,Connecticut
Salem State University,"352 Lafayette St Salem, MA 01970",352 Lafayette St,,Salem,MA,01970,,42.50263,-70.89071,648,Northeast,Massachusetts
Sam Houston State University ,"1905 University Ave Huntsville, TX 77340",1905 University Ave,,Huntsville,TX,77340,,30.7133,-95.55028,649,South,Texas
San Antonio College,"1819 N Main Ave San Antonio, TX 78212",1819 N Main Ave,,San Antonio,TX,78212,,29.446188,-98.494335,650,South,Texas
San Diego State University,"5500 Campanile Dr San Diego, CA 92182",5500 Campanile Dr,,San Diego,CA,92182,,32.77215,-117.07253,187,West,California
San Francisco Art Institute,"800 Chestnut St San Francisco, CA 94133",800 Chestnut St,,San Francisco,CA,94133,,37.80374,-122.41719,651,West,California
San Francisco State University,"1600 Holloway Ave San Francisco, CA 94132",1600 Holloway Ave,,San Francisco,CA,94132,,37.72094,-122.47708,188,West,California
San Jose State University,"1 Washington Sq San Jose, CA 95192",1 Washington Sq,,San Jose,CA,95192,,37.333927,-121.880442,189,West,California
